Tick,Color,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,new_size,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,emotion_trials_pos.thisRepN,emotion_trials_pos.thisTrialN,emotion_trials_pos.thisN,emotion_trials_pos.thisIndex,emotion_evaluation_pos.thisRepN,emotion_evaluation_pos.thisTrialN,emotion_evaluation_pos.thisN,emotion_evaluation_pos.thisIndex,emotion_trials_neg.thisRepN,emotion_trials_neg.thisTrialN,emotion_trials_neg.thisN,emotion_trials_neg.thisIndex,emotion_evaluation_neg.thisRepN,emotion_evaluation_neg.thisTrialN,emotion_evaluation_neg.thisN,emotion_evaluation_neg.thisIndex,text_welcome_screen.started,text_welcome_screen.stopped,key_resp_welcome_screen.keys,key_resp_welcome_screen.rt,key_resp_welcome_screen.started,key_resp_welcome_screen.stopped,text_baseline_screen.started,text_baseline_screen.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,rating_baseline.response,rating_baseline.rt,text_stress_screen.started,text_stress_screen.stopped,rating_stress_part_one.response,rating_stress_part_one.rt,rating_stress_part_one.started,rating_stress_part_one.stopped,key_resp_stress_part_two.keys,key_resp_stress_part_two.rt,key_resp_stress_part_two.started,key_resp_stress_part_two.stopped,rating_stress_part_two.response,rating_stress_part_two.rt,rating_stress_part_two.started,rating_stress_part_two.stopped,text_cooldown_countdown.started,text_cooldown_countdown.stopped,text_cooldown_measurement.started,text_cooldown_measurement.stopped,rating_cooldown.response,rating_cooldown.rt,rating_cooldown.started,rating_cooldown.stopped,image_emotion_meas_pos.started,image_emotion_meas_pos.stopped,image_emotion_evaluation_pos.started,image_emotion_evaluation_pos.stopped,rating_emotion_evaluation_pos.response,rating_emotion_evaluation_pos.rt,rating_emotion_evaluation_pos.started,rating_emotion_evaluation_pos.stopped,image_emotion_meas_neg.started,image_emotion_meas_neg.stopped,image_emotion_evaluation_neg.started,image_emotion_evaluation_neg.stopped,rating_emotion_evaluation_neg.response,rating_emotion_evaluation_neg.rt,rating_emotion_evaluation_neg.started,rating_emotion_evaluation_neg.stopped,text_ending_screen.started,text_ending_screen.stopped,participant,session,startTime,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.639109600102529,None,space,1.3439464999828488,5.639109600102529,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2019_Aug_22_1646,MTEC_paradigm,3.1.3,148.17207536636292,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.991842300049029,None,27.491081300075166,None,1,16.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2019_Aug_22_1646,MTEC_paradigm,3.1.3,148.17207536636292,
2,green,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.265715799992904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2019_Aug_22_1646,MTEC_paradigm,3.1.3,148.17207536636292,
3,green,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2019_Aug_22_1646,MTEC_paradigm,3.1.3,148.17207536636292,
4,green,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2019_Aug_22_1646,MTEC_paradigm,3.1.3,148.17207536636292,
5,green,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2019_Aug_22_1646,MTEC_paradigm,3.1.3,148.17207536636292,
6,green,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2019_Aug_22_1646,MTEC_paradigm,3.1.3,148.17207536636292,
7,green,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2019_Aug_22_1646,MTEC_paradigm,3.1.3,148.17207536636292,
8,green,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2019_Aug_22_1646,MTEC_paradigm,3.1.3,148.17207536636292,
9,green,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2019_Aug_22_1646,MTEC_paradigm,3.1.3,148.17207536636292,
